id,name,pop,german hip hop,dance pop,pop urbaine,french hip hop,latin,reggaeton,trap latino,rap,hip hop
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,0,0,0,0,0,0,0,0,0,0
66ihevNkSYNzRAl44dx6jJ,Carin Leon,0,0,0,0,0,0,0,0,0,0
0U7ti3mwGrBNlKNE4YlbfT,Sierra Kidd,0,1,0,0,0,0,0,0,0,0
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,0,0,0,0,0,1,1,1,0,0
2cPqdH7XMvwaBJEVjheH8g,Jay Wheeler,0,0,0,0,0,1,1,1,0,0
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,0,0,0,0,0,0,0,0,0,0
5bv5RplEOwdCvhq0EILh9E,Lucenzo,0,0,0,0,0,0,1,0,0,0
0adJG3bdFTHCkTY28NkY4u,Bejo,0,0,0,0,0,0,0,0,0,0
5KKpBU5eC2tJDzf0wmlRp2,RAYE,1,0,1,0,0,0,0,0,0,0
1GKIlPFdcewHtpDVCQ8zmJ,Brray,0,0,0,0,0,0,1,1,0,0
4myTppRgh0rojLxx8RycOp,Ryan Lewis,0,0,0,0,0,0,0,0,0,0
