iso3,date,life_expectancy,fertility
CHE,2006,81.490243902439,1.44
CHE,2007,81.7414634146342,1.46
CHE,2008,81.9926829268293,1.48
CHE,2009,82.0439024390244,1.5
CHE,2010,82.2463414634147,1.52
CHE,2011,82.6951219512195,1.52
CHE,2012,82.6975609756098,1.52
CHE,2013,82.7975609756098,1.52
CHE,2014,83.1975609756098,1.54
CHE,2015,82.8975609756098,1.54
CHE,2016,83.6024390243903,1.54
CHE,2017,83.5512195121951,1.52
CHE,2018,83.7536585365854,1.52
CHE,2019,83.9048780487805,1.48
CHE,2020,83.1,1.46
CHI,2000,79.037,1.526
CHI,2001,79.3,1.508
CHI,2002,79.548,1.496
CHI,2003,79.795,1.492
CHI,2004,80.045,1.496
CHI,2005,80.298,1.509
CHI,2006,80.553,1.527
CHI,2007,80.802,1.547
CHI,2008,81.041,1.564
CHI,2009,81.268,1.578
CHI,2010,81.483,1.585
CHI,2011,81.688,1.586
CHI,2012,81.883,1.58
CHI,2013,82.071,1.569
CHI,2014,82.252,1.556
CHI,2015,82.429,1.541
CHI,2016,82.6,1.527
CHI,2017,82.766,1.516
CHI,2018,82.928,1.51
CHI,2019,83.086,1.509
CHI,2020,83.24,1.512
CHL,2000,76.366,2.055
CHL,2001,76.634,2.009
CHL,2002,76.894,1.972
CHL,2003,77.146,1.943
CHL,2004,77.391,1.923
CHL,2005,77.63,1.909
CHL,2006,77.865,1.901
CHL,2007,78.099,1.898
CHL,2008,78.33,1.895
CHL,2009,78.558,1.892
CHL,2010,78.779,1.884
CHL,2011,78.986,1.87
CHL,2012,79.176,1.849
CHL,2013,79.349,1.821
CHL,2014,79.504,1.787
CHL,2015,79.646,1.75
CHL,2016,79.779,1.713
CHL,2017,79.909,1.678
CHL,2018,80.042,1.649
CHL,2019,80.181,1.627
CHL,2020,80.329,1.611
CHN,2000,71.397,1.596
CHN,2001,71.732,1.597
CHN,2002,72.061,1.6
CHN,2003,72.381,1.604
CHN,2004,72.689,1.608
CHN,2005,72.985,1.612
CHN,2006,73.271,1.615
CHN,2007,73.553,1.617
CHN,2008,73.835,1.62
CHN,2009,74.119,1.623
CHN,2010,74.409,1.627
CHN,2011,74.708,1.632
CHN,2012,75.013,1.639
CHN,2013,75.321,1.647
CHN,2014,75.629,1.656
CHN,2015,75.928,1.665
CHN,2016,76.21,1.675
CHN,2017,76.47,1.683
CHN,2018,76.704,1.69
CHN,2019,76.912,1.696
CHN,2020,77.097,1.7
CIV,2000,49.635,5.87
CIV,2001,49.495,5.793
CIV,2002,49.475,5.713
CIV,2003,49.572,5.63
CIV,2004,49.788,5.545
CIV,2005,50.12,5.46
CIV,2006,50.561,5.376
CIV,2007,51.091,5.296
CIV,2008,51.682,5.221
CIV,2009,52.313,5.152
CIV,2010,52.964,5.088
CIV,2011,53.62,5.029
CIV,2012,54.271,4.974
CIV,2013,54.906,4.92
CIV,2014,55.508,4.867
CIV,2015,56.065,4.813
CIV,2016,56.567,4.759
CIV,2017,57.017,4.704
CIV,2018,57.422,4.649
CIV,2019,57.783,4.593
CIV,2020,58.104,4.536
CMR,2000,50.993,5.58
CMR,2001,51.222,5.524
CMR,2002,51.536,5.475
CMR,2003,51.908,5.431
CMR,2004,52.321,5.39
CMR,2005,52.76,5.35
CMR,2006,53.215,5.309
CMR,2007,53.681,5.266
CMR,2008,54.153,5.219
CMR,2009,54.627,5.167
CMR,2010,55.101,5.111
CMR,2011,55.581,5.049
CMR,2012,56.073,4.984
CMR,2013,56.576,4.916
CMR,2014,57.083,4.847
CMR,2015,57.583,4.777
CMR,2016,58.063,4.708
CMR,2017,58.511,4.639
CMR,2018,58.921,4.572
CMR,2019,59.292,4.506
CMR,2020,59.626,4.443
COD,2000,50.041,6.751
COD,2001,50.667,6.74
COD,2002,51.385,6.73
COD,2003,52.144,6.718
COD,2004,52.917,6.705
COD,2005,53.675,6.69
COD,2006,54.401,6.671
COD,2007,55.091,6.649
COD,2008,55.743,6.621
COD,2009,56.35,6.587
COD,2010,56.909,6.544
COD,2011,57.427,6.493
COD,2012,57.914,6.432
COD,2013,58.381,6.363
COD,2014,58.828,6.287
COD,2015,59.254,6.203
COD,2016,59.655,6.112
COD,2017,60.026,6.017
COD,2018,60.368,5.919
COD,2019,60.681,5.819
COD,2020,60.971,5.718
COG,2000,52.123,4.871
COG,2001,52.517,4.862
COG,2002,53.091,4.854
COG,2003,53.817,4.846
COG,2004,54.667,4.838
COG,2005,55.6,4.829
COG,2006,56.573,4.82
COG,2007,57.541,4.81
COG,2008,58.466,4.798
COG,2009,59.321,4.784
COG,2010,60.093,4.765
COG,2011,60.785,4.742
COG,2012,61.423,4.712
COG,2013,62.022,4.676
COG,2014,62.582,4.634
COG,2015,63.097,4.587
COG,2016,63.556,4.536
COG,2017,63.954,4.482
COG,2018,64.29,4.428
COG,2019,64.57,4.374
COG,2020,64.804,4.321
COL,2000,72.945,2.572
COL,2001,73.241,2.516
COL,2002,73.517,2.458
COL,2003,73.777,2.395
COL,2004,74.026,2.33
COL,2005,74.265,2.263
COL,2007,74.732,2.137
COL,2008,74.962,2.081
COL,2009,75.193,2.033
COL,2010,75.424,1.992
COL,2011,75.655,1.958
COL,2012,75.882,1.93
COL,2013,76.105,1.905
COL,2014,76.322,1.883
COL,2015,76.531,1.863
COL,2016,76.732,1.843
COL,2017,76.925,1.825
COL,2018,77.109,1.807
COL,2019,77.287,1.789
COL,2020,77.46,1.771
COM,2000,59.46,5.384
COM,2001,59.529,5.307
COM,2002,59.617,5.235
COM,2003,59.738,5.167
COM,2004,59.904,5.103
COM,2005,60.126,5.042
COM,2006,60.407,4.984
COM,2007,60.734,4.927
COM,2008,61.094,4.87
COM,2009,61.475,4.813
COM,2010,61.862,4.754
COM,2011,62.24,4.693
COM,2012,62.595,4.628
COM,2013,62.922,4.561
COM,2014,63.214,4.491
COM,2015,63.471,4.419
COM,2016,63.7,4.347
COM,2017,63.912,4.275
COM,2018,64.118,4.205
COM,2019,64.321,4.138
COM,2020,64.525,4.073
CPV,2000,68.583,3.539
CPV,2001,69.099,3.399
CPV,2002,69.557,3.271
CPV,2003,69.932,3.151
CPV,2004,70.219,3.038
CPV,2005,70.424,2.933
CPV,2006,70.565,2.839
CPV,2007,70.676,2.757
