"name","essround","edition","proddate","cntry","idno","intagea","intgndr","vdcond","resclq","resrelq","resbab","resundq","preintf","prewhp","presd","preppil","preorel","prenrel","predk","prenap","prena","intlnga","intnum"
"ESS11inte02",11,"2.0","19.11.2024","AT",75598,62,2,1,3,1,4,4,2,,,,,,,1,0,"GER",3271
"ESS11inte02",11,"2.0","19.11.2024","AT",75599,56,2,1,2,1,5,5,2,,,,,,,1,0,"GER",3137
"ESS11inte02",11,"2.0","19.11.2024","AT",75645,57,1,1,3,2,5,4,2,,,,,,,1,0,"GER",2982
"ESS11inte02",11,"2.0","19.11.2024","AT",75731,52,2,1,4,3,5,5,2,,,,,,,1,0,"GER",2267
"ESS11inte02",11,"2.0","19.11.2024","AT",75744,62,2,1,2,1,5,5,2,,,,,,,1,0,"GER",3271
"ESS11inte02",11,"2.0","19.11.2024","AT",75770,63,1,1,2,2,5,5,2,,,,,,,1,0,"GER",3406
"ESS11inte02",11,"2.0","19.11.2024","AT",75771,53,2,1,3,1,4,4,2,,,,,,,1,0,"GER",2178
"ESS11inte02",11,"2.0","19.11.2024","AT",75802,61,1,1,4,3,4,4,2,,,,,,,1,0,"GER",2147
"ESS11inte02",11,"2.0","19.11.2024","AT",75826,44,2,2,3,3,4,5,2,,,,,,,1,0,"GER",3122
"ESS11inte02",11,"2.0","19.11.2024","AT",75837,56,2,1,2,2,5,5,2,,,,,,,1,0,"GER",2248
"ESS11inte02",11,"2.0","19.11.2024","AT",75868,54,2,1,2,1,5,5,2,,,,,,,1,0,"GER",3092
"ESS11inte02",11,"2.0","19.11.2024","AT",75879,71,1,2,3,1,5,4,2,,,,,,,1,0,"GER",3382
"ESS11inte02",11,"2.0","19.11.2024","AT",75978,53,1,1,1,1,5,5,2,,,,,,,1,0,"GER",3217
"ESS11inte02",11,"2.0","19.11.2024","AT",75994,60,2,1,2,1,5,5,2,,,,,,,1,0,"GER",2617
"ESS11inte02",11,"2.0","19.11.2024","AT",75995,76,1,1,1,2,5,5,2,,,,,,,1,0,"GER",3124
"ESS11inte02",11,"2.0","19.11.2024","AT",76009,60,2,1,1,3,5,5,2,,,,,,,1,0,"GER",2762
"ESS11inte02",11,"2.0","19.11.2024","AT",76012,53,1,1,1,1,5,5,2,,,,,,,1,0,"GER",3217
"ESS11inte02",11,"2.0","19.11.2024","AT",76019,63,1,1,2,2,5,2,2,,,,,,,1,0,"GER",3406
"ESS11inte02",11,"2.0","19.11.2024","AT",76022,53,1,1,1,3,4,5,2,,,,,,,1,0,"GER",3212
"ESS11inte02",11,"2.0","19.11.2024","AT",76030,62,2,1,1,2,4,5,2,,,,,,,1,0,"GER",3193
"ESS11inte02",11,"2.0","19.11.2024","AT",76057,53,2,1,3,2,4,4,2,,,,,,,1,0,"GER",2178
"ESS11inte02",11,"2.0","19.11.2024","AT",76062,66,1,1,2,1,5,5,2,,,,,,,1,0,"GER",2893
"ESS11inte02",11,"2.0","19.11.2024","AT",76077,64,1,1,1,1,5,5,2,,,,,,,1,0,"GER",3504
"ESS11inte02",11,"2.0","19.11.2024","AT",76101,56,2,1,2,1,5,5,2,,,,,,,1,0,"GER",2447
"ESS11inte02",11,"2.0","19.11.2024","AT",76103,53,2,1,3,3,4,4,2,,,,,,,1,0,"GER",2178
"ESS11inte02",11,"2.0","19.11.2024","AT",76105,48,2,2,2,1,5,5,2,,,,,,,1,0,"GER",2348
"ESS11inte02",11,"2.0","19.11.2024","AT",76114,60,2,1,3,1,5,4,2,,,,,,,1,0,"GER",2762
"ESS11inte02",11,"2.0","19.11.2024","AT",76135,49,1,1,1,1,5,5,2,,,,,,,1,0,"GER",2384
"ESS11inte02",11,"2.0","19.11.2024","AT",76139,80,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2537
"ESS11inte02",11,"2.0","19.11.2024","AT",76141,42,2,1,2,1,5,5,2,,,,,,,1,0,"GER",3048
"ESS11inte02",11,"2.0","19.11.2024","AT",76147,71,1,1,1,1,5,5,2,,,,,,,1,0,"GER",3382
"ESS11inte02",11,"2.0","19.11.2024","AT",76159,77,1,1,2,1,5,4,2,,,,,,,1,0,"GER",2492
"ESS11inte02",11,"2.0","19.11.2024","AT",76161,54,2,1,2,1,5,5,2,,,,,,,1,0,"GER",3092
"ESS11inte02",11,"2.0","19.11.2024","AT",76186,63,2,1,3,1,5,5,2,,,,,,,1,0,"GER",2485
"ESS11inte02",11,"2.0","19.11.2024","AT",76200,52,2,1,2,4,4,4,2,,,,,,,1,0,"GER",2267
"ESS11inte02",11,"2.0","19.11.2024","AT",76202,67,1,2,1,1,5,5,2,,,,,,,1,0,"GER",3073
"ESS11inte02",11,"2.0","19.11.2024","AT",76216,61,1,1,3,2,5,5,2,,,,,,,1,0,"GER",2147
"ESS11inte02",11,"2.0","19.11.2024","AT",76228,62,2,1,2,1,5,5,2,,,,,,,1,0,"GER",3426
"ESS11inte02",11,"2.0","19.11.2024","AT",76234,54,1,1,1,1,5,5,2,,,,,,,1,0,"GER",2305
"ESS11inte02",11,"2.0","19.11.2024","AT",76246,43,1,1,1,1,5,5,2,,,,,,,1,0,"GER",3266
"ESS11inte02",11,"2.0","19.11.2024","AT",76268,57,2,1,1,2,5,5,2,,,,,,,1,0,"GER",3008
"ESS11inte02",11,"2.0","19.11.2024","AT",76289,71,1,1,1,1,5,5,2,,,,,,,1,0,"GER",3382
"ESS11inte02",11,"2.0","19.11.2024","AT",76319,40,2,1,2,1,5,5,2,,,,,,,1,0,"GER",2994
"ESS11inte02",11,"2.0","19.11.2024","AT",76376,55,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2674
"ESS11inte02",11,"2.0","19.11.2024","AT",76397,75,2,2,2,4,2,8,2,,,,,,,1,0,"GER",2354
"ESS11inte02",11,"2.0","19.11.2024","AT",76399,53,2,1,2,2,5,5,2,,,,,,,1,0,"GER",2178
"ESS11inte02",11,"2.0","19.11.2024","AT",76402,59,1,1,1,3,4,5,2,,,,,,,1,0,"GER",3039
"ESS11inte02",11,"2.0","19.11.2024","AT",76409,62,2,1,1,1,5,5,2,,,,,,,1,0,"GER",3426
"ESS11inte02",11,"2.0","19.11.2024","AT",76414,55,1,1,1,2,4,4,2,,,,,,,1,0,"GER",2410
"ESS11inte02",11,"2.0","19.11.2024","AT",76416,80,2,2,1,3,4,5,2,,,,,,,1,0,"GER",2537
"ESS11inte02",11,"2.0","19.11.2024","AT",76425,39,2,1,3,2,4,4,2,,,,,,,1,0,"GER",2293
"ESS11inte02",11,"2.0","19.11.2024","AT",76438,46,1,1,2,2,5,5,2,,,,,,,1,0,"GER",2943
"ESS11inte02",11,"2.0","19.11.2024","AT",76441,55,2,1,1,1,1,5,2,,,,,,,1,0,"GER",2526
"ESS11inte02",11,"2.0","19.11.2024","AT",76485,62,2,2,1,1,5,5,2,,,,,,,1,0,"GER",3271
"ESS11inte02",11,"2.0","19.11.2024","AT",76490,30,1,1,3,1,4,4,2,,,,,,,1,0,"GER",2595
"ESS11inte02",11,"2.0","19.11.2024","AT",76491,60,2,1,2,3,4,4,2,,,,,,,1,0,"GER",2337
"ESS11inte02",11,"2.0","19.11.2024","AT",76499,46,1,1,2,2,5,5,2,,,,,,,1,0,"GER",2943
"ESS11inte02",11,"2.0","19.11.2024","AT",76503,67,1,1,3,2,4,5,2,,,,,,,1,0,"GER",3073
"ESS11inte02",11,"2.0","19.11.2024","AT",76514,65,2,1,1,1,5,5,2,,,,,,,1,0,"GER",3157
"ESS11inte02",11,"2.0","19.11.2024","AT",76516,30,1,1,3,2,4,4,2,,,,,,,1,0,"GER",2595
"ESS11inte02",11,"2.0","19.11.2024","AT",76521,76,2,1,2,1,4,4,2,,,,,,,1,0,"GER",2150
